Seq;CPF;Nome;Sexo;DataNasc;CodReg;CodMunic;CategProf;AnosEstudo;AnosEmprego;Sal‡rio;Altura (cm);Peso (kg);Fuma (1=sim, 0=n‹o)
1;036054671-48;Gilberto M. Sasaky;M;12/11/69;100;101;C;16;11;8.794;164;70;1
2;904748223-97;Cleide Q. Furkin;F;06/08/75;100;101;C;16;12;8.422;156;54;0
3;015787295-56;Romário Lemos;M;15/05/56;100;101;D;16;24;6.697;181;77;0
4;391078665-00;Oscar Camargo Kalil;M;27/05/78;100;101;C;18;4;6.587;162;71;1
5;379073101-30;Valter Ramos;M;09/12/82;100;101;A;4;5;1.007;170;75;0
6;121684063-67;Joaquim M. Novaes;M;01/06/74;100;101;C;20;12;6.757;176;75;0
7;447960673-45;Patrícia Alves;F;09/01/69;100;101;B;17;7;2.181;159;60;0
8;401750545-76;Mirtes Aroeira;F;14/02/77;100;101;C;22;10;7.873;171;58;0
9;152114117-73;Francisco C. Barbosa;Masc.;26/03/75;100;101;B;12;8;2.132;185;96;1
10;137892614-59;Fátima P. Cordeiro;F;14/07/69;100;101;A;4;5;973;171;61;0
11;275301280-60;Simone A. Morita;F;02/08/72;100;101;B;12;10;2.300;159;77;1
12;228585372-67;Diógenes Lima;Masc.;14/08/57;100;101;D;12;9;6.148;200;88;1
13;033234359-66;Janaina Seixas Mota;Fem.;23/04/68;100;101;A;4;16;1.118;149;70;1
14;423307468-06;Edson Aguiar Torelli;M;24/12/70;100;101;B;12;12;2.354;170;68;1
15;638038311-56;Olívia Pontes Werneck;F;05/02/66;100;101;E;16;18;3.460;153;51;0
16;613885281-85;Isabel Vieira Duarte;F;01/06/74;100;101;A;5;4;1.002;162;66;0
17;242604906-56;Romário Gouveia;Masc.;08/09/78;100;101;B;12;10;2.246;178;79;0
18;976122978-50;Marcelo M. Schineider;M;11/10/77;100;101;A;4;3;1.085;162;78;0
19;873270992-71;Ivo T. Heckmann;M;10/10/69;100;101;B;12;12;2.192;187;89;1
20;478592061-02;Diana Lourenço;F;02/06/63;100;101;B;12;15;2.203;161;82;1
21;697475120-68;Gervásio Leite Loureiro;M;16/05/71;100;101;B;12;12;2.109;170;77;1
22;045013880-13;Marciano L. Heckmann;M;27/03/62;100;101;B;12;0;2.080;182;91;0
23;930452093-27;Nívea P. Souza;F;19/01/69;100;101;C;16;16;9.227;165;62;1
24;227221312-00;Melissa Lourenço Schineider;F;09/03/64;100;101;B;12;9;2.239;160;54;0
25;677319875-58;Dora G. Rigoni;F;10/10/71;100;101;C;18;13;7.878;150;60;0
26;344249115-00;Gervásio S. Duarte;M;10/05/67;100;101;C;16;17;8.262;166;80;1
27;211148090-80;Priscila L. Furkin;F;13/06/66;100;101;B;12;13;2.273;168;59;0
28;797275871-94;Teresa Almeida;F;24/02/73;100;101;E;16;5;3.457;157;54;0
29;292673575-81;Heráclito Verdinn;M;29/01/72;100;101;A;4;7;1.141;175;86;0
30;320607578-51;Olívia Novaes;F;11/02/70;100;101;B;17;16;2.298;156;60;0
31;752028677-00;Lúcio Mota Souza;M;11/02/66;100;101;A;5;16;1.155;176;85;0
32;845557647-22;Paula Loureiro Haddad;F;22/12/66;100;101;A;4;7;1.020;149;58;1
33;624699692-20;Lourdes M. Aroeira;F;01/04/67;100;101;C;16;13;10.284;175;63;0
34;340991092-16;David Macieira;M;23/02/77;100;101;A;4;9;1.096;178;88;1
35;721309587-02;Victor Arantes Zarin;M;27/09/70;100;101;D;13;12;5.603;183;87;1
36;946140734-33;João P. Sampaio;M;04/09/72;100;101;E;17;11;3.732;158;78;1
37;054618357-32;Otílio Medeiros Fonseca;M;27/06/76;100;101;A;4;5;1.095;175;84;0
38;122698367-74;Edson Pereira Reis;M;17/05/57;100;101;C;16;15;7.024;160;67;0
39;857715889-62;Guilherme Pereira;M;27/06/81;100;101;D;12;2;5.243;202;84;0
40;513010362-93;André G. Mesquita;M;06/10/92;100;101;A;4;1;1.026;158;76;1
41;124184566-25;Petrônio Soares Toguchi;M;09/08/61;100;101;A;4;19;1.180;165;80;0
42;633410098-09;Cristina Araújo;F;25/07/66;100;101;B;16;14;2.459;175;71;0
43;007453404-15;Geraldo Araújo Bayochi;M;18/08/63;100;101;C;22;15;6.792;154;52;0
44;307793978-94;Cláudio M. Duarte;M;28/11/71;100;101;A;6;5;1.058;182;90;0
45;303657799-89;Rui Bezerra Zainne;M;15/01/78;100;101;C;21;6;9.184;174;88;1
46;305647350-00;Silvana M. Angelini;F;26/10/74;100;101;B;12;5;2.155;170;74;0
47;041229309-95;Fabrício S. Lopes;M;20/07/70;100;101;D;12;11;4.112;188;87;1
48;036272569-13;Karla Gomes Ferraz;Fem.;18/01/75;100;101;B;12;4;2.189;146;65;1
49;867908391-78;Josué Santana;M;27/05/54;100;101;C;16;26;9.927;176;81;0
50;403314094-88;Clarice S. Novaes;F;16/12/81;100;101;A;4;0;924;167;73;0
51;827497557-00;Gervásio Pinheiro;M;06/07/66;100;101;D;12;14;4.878;179;76;1
52;659605764-06;Glória Leite Rosa Pereira;F;02/09/81;100;101;B;12;8;2.249;160;71;1
53;256001964-74;Florinda S. Rigoni;F;27/11/71;100;101;B;14;14;2.123;164;83;1
54;033782842-34;Alcides Costa;M;22/10/65;100;101;D;14;16;5.900;180;81;0
55;625048612-73;Ivone T. Holtz;F;13/09/63;100;101;A;5;18;1.137;166;79;1
56;348887199-18;Karla Gomes;F;08/08/62;100;101;A;4;8;1.154;163;61;0
57;319662166-96;Madalena N. Furkin;F;16/01/64;100;101;B;12;7;2.187;160;65;0
58;985549603-51;Otílio Torres Mancini;M;09/10/62;100;101;A;4;16;1.028;184;108;1
59;918367582-51;Eleno Gomes Torres;M;17/12/62;100;101;C;20;16;6.735;178;73;0
60;669562892-02;Marcílio A. Toguchi;M;27/11/66;100;101;A;4;9;1.081;169;80;0
61;405351833-48;Betânia O. Holtz;F;07/05/74;100;101;E;16;9;3.269;153;75;1
